UserID,Menu,Review,Total,Taste,Quantity,Delivery,Date,HasPicture,BiasFree,RestaurantID
dm**,"마왕세트 （소）/1(메뉴선택(통구이),맛선택(중간맛),사이드 메뉴(족발볶음밥))","마왕족발은 언제나 정답이에요!‘!
넘 맛있습니다. 잘 먹었습니당

족발볶음밥..막국수…족발..진짜 미칩니다",5,5,5,5.0,2023-05-22 12:20:21,1,0,556593
zi**,"마왕통구이 （소）/1(맛선택(중간맛),음료선택(콜라))",맛잇고 양도 많습니다 굿굿,5,5,5,5.0,2023-05-17 19:29:38,1,0,556593
wl**,"마왕통구이 （소）/1(맛선택(순한맛),음료선택(사이다))",정말 맛있어요!!최고!!,5,5,5,5.0,2023-05-15 17:01:27,0,1,556593
s4**,"마왕통구이 （소）/1(맛선택(중간맛),메뉴추가(선택안함),음료선택(사이다))",너무 맛있어요 ㅜㅜ 또 시킬게요 ㅎㅎ,5,5,5,5.0,2023-05-14 23:54:56,1,0,556593
jk**,"마왕통구이 （중）/1(맛선택(중간맛),음료선택(사이다))","긴말
안쓸게요 

최고에요 이집",5,5,5,5.0,2023-05-14 15:43:51,1,0,556593
as**,"마왕세트 （소）/1(메뉴선택(통구이),맛선택(중간맛),사이드 메뉴(족발볶음밥)),불족소스/1",맛있게 잘먹었습니다~,5,5,5,5.0,2023-05-13 23:50:20,1,0,556593
bc**,"마왕통구이 （중）/1(맛선택(중간맛),음료선택(콜라)),쌈추가/1",남녀 둘이서 뼈까지 한끼에 클리어하는 양입니다. 많지는 않은 양이지만 소스 국물이 맛있어서 시킵니다. 채소 추가했는데 싱싱하고 많이주셔서 좋았어요,5,5,5,5.0,2023-05-13 21:06:28,1,0,556593
co**,"마왕세트 （소）/1(메뉴선택(통구이),맛선택(중간맛),사이드 메뉴(열무국수))",이벤트덕분에 당면도 많고 너무 맛있게 잘 먹었어요~~,5,5,5,5.0,2023-05-12 19:20:59,1,0,556593
wi**,"마왕통구이 （대）/1(맛선택(중간맛),음료선택(사이다))","오늘도 역시나 맛있었습니다.
마왕을 알고난뒤부터 딴곳은 못먹어요",5,5,5,5.0,2023-05-12 08:48:11,1,0,556593
ki**,"마왕통구이 （소）/1(맛선택(순한맛),음료선택(사이다))",당면 추가한 줄 알았네요.. 추가도 안했는데 왜캐 많아!!!? 깜짝 놀라쓰….. 뭐여. 추가하면 다 담을수나 있는겨..? 추가하하면 당면에곁들인 족발되거쓰..,5,5,5,5.0,2023-05-11 22:34:23,1,0,556593
ha**,"마왕통구이 （소）/1(맛선택(중간맛),메뉴추가(선택안함),음료선택(사이다)),불족소스/1",고기가 쫄깃하고 달콤하고 맛있게 잘 먹었습니다^^,5,5,5,5.0,2023-05-11 19:04:32,1,0,556593
